SName;Building;BuildingPart;Gender;CntAgeCat1;CntAgeCat2;CntAgeCat3;CntAgeCat4;CntAgeCat5;CntAgeCat6;CntAgeCatNull;CntAgeAll
Бажана М. (Рясне);29;;female;0;1;0;0;1;0;0;2
Бажана М. (Рясне);3;;female;0;0;0;0;1;1;0;2
Бажана М. (Рясне);30;;female;0;0;0;0;0;0;0;0
Бажана М. (Рясне);32;;female;0;0;0;0;0;1;0;1
Бажана М. (Рясне);33;;female;0;0;0;0;1;0;0;1
Бажана М. (Рясне);34;;female;1;0;0;1;1;1;0;4
Бажана М. (Рясне);35;;female;0;0;0;0;0;0;0;0
Бажана М. (Рясне);37;;female;0;1;1;2;1;1;0;6
Бажана М. (Рясне);39;;female;0;0;0;0;0;1;0;1
Бажана М. (Рясне);3а;;female;0;0;0;2;0;0;0;2
Бажана М. (Рясне);4;;female;1;0;0;1;2;1;0;5
Бажана М. (Рясне);5;;female;1;0;0;1;1;0;0;3
Бажана М. (Рясне);6;;female;0;1;2;5;2;0;0;10
Бажана М. (Рясне);7;;female;0;0;1;0;1;1;0;3
Бажана М. (Рясне);8;;female;0;0;0;0;0;1;0;1
Бажана М. (Рясне);9;;female;0;0;0;0;1;0;0;1
Базальтова;1;;female;0;0;0;0;0;2;0;2
Базальтова;10;;female;0;0;1;0;1;1;0;3
Базальтова;11;;female;0;0;1;0;1;0;0;2
Базальтова;12;;female;0;0;0;0;0;0;0;0
Базальтова;12а;;female;0;0;0;1;0;1;0;2
Базальтова;13;;female;0;0;0;0;0;1;0;1
Базальтова;14;;female;0;0;0;0;1;0;0;1
Базальтова;15;;female;0;0;0;0;0;1;0;1
Базальтова;16;;female;0;1;0;0;1;0;0;2
Базальтова;16а;;female;0;0;0;0;1;1;0;2
Базальтова;17;;female;0;0;0;1;1;0;0;2
Базальтова;19;;female;1;1;1;1;1;1;0;6
Базальтова;21;;female;0;0;0;0;0;0;0;0
Базальтова;23;;female;0;1;0;1;0;1;0;3
Базальтова;3;;female;0;0;0;0;2;1;0;3
Базальтова;6;;female;0;0;0;2;0;0;0;2
Базальтова;7;;female;0;0;0;2;2;2;0;6
Базальтова;8;;female;1;1;0;1;1;1;0;5
Базальтова;9;;female;0;0;0;0;1;1;0;2
Базарна;10;;female;0;0;1;1;4;3;0;9
Базарна;12;;female;0;2;0;3;0;3;0;8
Базарна;28;;female;1;1;0;5;6;1;0;14
Базарна;34;;female;0;1;0;6;6;8;0;21
Базарна;36;;female;0;0;1;5;3;3;0;12
Базарна;44;;female;1;1;1;4;4;5;0;16
Базарна;50;;female;3;3;3;14;17;28;0;68
Бакинська;1;;female;0;0;0;0;0;0;0;0
Бакинська;10;;female;0;1;0;0;1;1;0;3
Бакинська;11;;female;0;2;0;0;1;1;0;4
Бакинська;12;;female;0;2;0;2;0;2;0;6
Бакинська;13;;female;0;1;0;1;2;1;0;5
Бакинська;14;;female;0;0;0;1;0;1;0;2
Бакинська;15;;female;0;1;0;0;1;1;0;3
Бакинська;16;;female;0;0;0;1;0;1;0;2
Бакинська;17;;female;1;1;0;1;0;0;0;3
Бакинська;17а;;female;0;0;0;0;1;0;0;1
Бакинська;18;;female;0;0;0;0;1;0;0;1
Бакинська;19;;female;0;0;0;0;1;2;0;3
Бакинська;2;;female;1;0;0;1;1;0;0;3
Бакинська;20;;female;1;1;0;1;0;1;0;4
Бакинська;21;;female;0;0;0;0;1;0;0;1
Бакинська;23;;female;1;0;0;1;1;0;0;3
Бакинська;24;;female;0;0;0;0;0;0;0;0
Бакинська;24а;;female;0;0;0;0;1;1;0;2
Бакинська;25;;female;1;0;0;2;0;1;0;4
Бакинська;25б;;female;0;0;0;0;1;0;0;1
Бакинська;28;;female;0;3;0;0;2;1;0;6
Бакинська;3;;female;0;0;0;1;0;1;0;2
Бакинська;30;;female;0;1;1;2;1;0;0;5
Бакинська;30а;;female;0;0;0;1;0;0;0;1
Бакинська;3а;;female;1;0;0;1;1;0;0;3
Бакинська;5;;female;0;0;0;0;1;0;0;1
Бакинська;7;;female;0;0;1;0;1;1;0;3
Бакинська;7а;;female;0;0;0;0;1;0;0;1
Балабана М.;1;;female;1;1;0;0;2;2;0;6
Балабана М.;10;;female;0;0;0;1;2;2;0;5
